id_producto,canal,periodo,año,mes,campaña,tipo_campaña,demanda,descuento_promedio_periodo,nombre,categoria,subcategoria,marca,demanda_mes_anterior,descuento_promedio_mes_anterior,demanda_misma_campaña_año_anterior,descuento_promedio_misma_campaña_año_anterior
1,Web,2025-06,2025,Junio,Normal,Regular,6,0.0619,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0946,5.0,0.0904
1,Web,2025-04,2025,Abril,Normal,Regular,5,0.0318,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0775,2.0,0.0498
1,Web,2024-05,2024,Mayo,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0498,8.0,0.0666
1,Web,2024-03,2024,Marzo,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0771,0.0,0.0
1,Web,2023-12,2023,Diciembre,Navidad,Festiva,23,0.1146,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,9.0,0.1468,,
1,Web,2024-12,2024,Diciembre,Navidad,Festiva,24,0.1128,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,23.0,0.1146
1,Web,2025-02,2025,Febrero,Campaña Escolar,Escolar,1,0.0523,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,9.0,0.087,1.0,0.0771
1,Web,2023-05,2023,Mayo,Día de la Madre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,6.0,0.0386,,
1,Web,2025-12,2025,Diciembre,Navidad,Festiva,40,0.0985,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,5.0,0.1026,24.0,0.1128
1,Web,2025-05,2025,Mayo,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.1316,0.0,0.0
1,Web,2024-05,2024,Mayo,Día de la Madre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0498,0.0,0.0
1,Web,2024-11,2024,Noviembre,Cyber Wow Noviembre,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0417,0.0,0.0
1,Web,2025-05,2025,Mayo,Día de la Madre,Familiar,8,0.0946,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.1316,0.0,0.0
1,Web,2025-04,2025,Abril,Cyber Wow Abril,Digital,3,0.2314,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0775,0.0,0.0
1,Web,2025-08,2025,Agosto,Normal,Regular,22,0.0669,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,37.0,0.0929,0.0,0.0
1,Web,2024-07,2024,Julio,Cyber Wow Julio,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,10.0,0.0835,14.0,0.2056
1,Web,2025-07,2025,Julio,Fiestas Patrias,Festiva,34,0.0718,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,6.0,0.0619,41.0,0.0851
1,Web,2025-01,2025,Enero,Normal,Regular,9,0.087,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,24.0,0.1128,3.0,0.0831
1,Web,2025-06,2025,Junio,Día del Padre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0946,5.0,0.0695
1,Web,2023-01,2023,Enero,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,,,,
1,Web,2024-11,2024,Noviembre,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0417,3.0,0.0809
1,Web,2023-10,2023,Octubre,Normal,Regular,3,0.0283,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,Web,2025-09,2025,Septiembre,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,22.0,0.0669,7.0,0.0826
1,Web,2024-08,2024,Agosto,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,41.0,0.0851,0.0,0.0
1,Web,2023-08,2023,Agosto,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,25.0,0.1499,,
1,Web,2024-07,2024,Julio,Fiestas Patrias,Festiva,41,0.0851,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,10.0,0.0835,11.0,0.1128
1,Web,2024-11,2024,Noviembre,Black Friday,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0417,6.0,0.1797
1,Web,2024-06,2024,Junio,Normal,Regular,5,0.0904,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,5.0,0.0838
1,Web,2023-11,2023,Noviembre,Normal,Regular,3,0.0809,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0283,,
1,Web,2023-07,2023,Julio,Fiestas Patrias,Festiva,11,0.1128,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,5.0,0.0838,,
1,Web,2023-11,2023,Noviembre,Cyber Wow Noviembre,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0283,,
1,Web,2024-04,2024,Abril,Cyber Wow Abril,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,Web,2024-02,2024,Febrero,Campaña Escolar,Escolar,1,0.0771,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0831,3.0,0.1399
1,Web,2025-07,2025,Julio,Cyber Wow Julio,Digital,3,0.2625,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,6.0,0.0619,0.0,0.0
1,Web,2023-03,2023,Marzo,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.1399,,
1,Web,2023-06,2023,Junio,Día del Padre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0666,,
1,Web,2024-04,2024,Abril,Normal,Regular,2,0.0498,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,6.0,0.0386
1,Web,2025-11,2025,Noviembre,Normal,Regular,2,0.0361,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.1344,0.0,0.0
1,Web,2023-04,2023,Abril,Normal,Regular,6,0.0386,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,Web,2025-11,2025,Noviembre,Cyber Wow Noviembre,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.1344,0.0,0.0
1,Web,2023-05,2023,Mayo,Normal,Regular,8,0.0666,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,6.0,0.0386,,
1,Web,2023-11,2023,Noviembre,Black Friday,Digital,6,0.1797,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0283,,
1,Web,2025-03,2025,Marzo,Campaña Escolar,Escolar,1,0.0775,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0523,0.0,0.0
1,Web,2024-06,2024,Junio,Día del Padre,Familiar,5,0.0695,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,Web,2024-01,2024,Enero,Normal,Regular,3,0.0831,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,23.0,0.1146,0.0,0.0
1,Web,2024-09,2024,Septiembre,Normal,Regular,7,0.0826,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,Web,2025-10,2025,Octubre,Normal,Regular,8,0.1344,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,2.0,0.0417
1,Web,2024-10,2024,Octubre,Normal,Regular,2,0.0417,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,7.0,0.0826,3.0,0.0283
1,Web,2023-09,2023,Septiembre,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,Web,2023-07,2023,Julio,Cyber Wow Julio,Digital,14,0.2056,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,5.0,0.0838,,
1,Web,2025-11,2025,Noviembre,Black Friday,Digital,3,0.169,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.1344,0.0,0.0
1,Web,2023-04,2023,Abril,Cyber Wow Abril,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,Web,2023-02,2023,Febrero,Campaña Escolar,Escolar,3,0.1399,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,Web,2023-06,2023,Junio,Normal,Regular,5,0.0838,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0666,,
1,App,2025-06,2025,Junio,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,9.0,0.0801,0.0,0.0
1,App,2025-04,2025,Abril,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0794,0.0,0.0
1,App,2024-05,2024,Mayo,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,3.0,0.0542
1,App,2024-03,2024,Marzo,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2023-12,2023,Diciembre,Navidad,Festiva,10,0.077,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0323,,
1,App,2024-12,2024,Diciembre,Navidad,Festiva,34,0.1088,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,5.0,0.028,10.0,0.077
1,App,2025-02,2025,Febrero,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0807,0.0,0.0
1,App,2023-05,2023,Mayo,Día de la Madre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.075,,
1,App,2025-12,2025,Diciembre,Navidad,Festiva,37,0.1279,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,6.0,0.1607,34.0,0.1088
1,App,2025-05,2025,Mayo,Normal,Regular,6,0.0632,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-05,2024,Mayo,Día de la Madre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-11,2024,Noviembre,Cyber Wow Noviembre,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2025-05,2025,Mayo,Día de la Madre,Familiar,3,0.1138,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2025-04,2025,Abril,Cyber Wow Abril,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.0794,0.0,0.0
1,App,2025-08,2025,Agosto,Normal,Regular,5,0.0547,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,23.0,0.093,2.0,0.0738
1,App,2024-07,2024,Julio,Cyber Wow Julio,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2025-07,2025,Julio,Fiestas Patrias,Festiva,23,0.093,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,10.0,0.1058,8.0,0.0867
1,App,2025-01,2025,Enero,Normal,Regular,8,0.0807,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,34.0,0.1088,0.0,0.0
1,App,2025-06,2025,Junio,Día del Padre,Familiar,10,0.1058,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,9.0,0.0801,0.0,0.0
1,App,2023-01,2023,Enero,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,,,,
1,App,2024-11,2024,Noviembre,Normal,Regular,5,0.028,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,1.0,0.0323
1,App,2023-10,2023,Octubre,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2025-09,2025,Septiembre,Normal,Regular,12,0.0664,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,5.0,0.0547,2.0,0.0893
1,App,2024-08,2024,Agosto,Normal,Regular,2,0.0738,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0867,8.0,0.0465
1,App,2023-08,2023,Agosto,Normal,Regular,8,0.0465,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2024-07,2024,Julio,Fiestas Patrias,Festiva,8,0.0867,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-11,2024,Noviembre,Black Friday,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-06,2024,Junio,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,2.0,0.0469
1,App,2023-11,2023,Noviembre,Normal,Regular,1,0.0323,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2023-07,2023,Julio,Fiestas Patrias,Festiva,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0469,,
1,App,2023-11,2023,Noviembre,Cyber Wow Noviembre,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2024-04,2024,Abril,Cyber Wow Abril,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-02,2024,Febrero,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2025-07,2025,Julio,Cyber Wow Julio,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,10.0,0.1058,0.0,0.0
1,App,2023-03,2023,Marzo,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2023-06,2023,Junio,Día del Padre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0542,,
1,App,2024-04,2024,Abril,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,1.0,0.075
1,App,2025-11,2025,Noviembre,Normal,Regular,6,0.1607,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,7.0,0.0442,5.0,0.028
1,App,2023-04,2023,Abril,Normal,Regular,1,0.075,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2025-11,2025,Noviembre,Cyber Wow Noviembre,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,7.0,0.0442,0.0,0.0
1,App,2023-05,2023,Mayo,Normal,Regular,3,0.0542,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,1.0,0.075,,
1,App,2023-11,2023,Noviembre,Black Friday,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2025-03,2025,Marzo,Campaña Escolar,Escolar,1,0.0794,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-06,2024,Junio,Día del Padre,Familiar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,0.0,0.0
1,App,2024-01,2024,Enero,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,10.0,0.077,0.0,0.0
1,App,2024-09,2024,Septiembre,Normal,Regular,2,0.0893,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0738,0.0,0.0
1,App,2025-10,2025,Octubre,Normal,Regular,7,0.0442,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,12.0,0.0664,0.0,0.0
1,App,2024-10,2024,Octubre,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0893,0.0,0.0
1,App,2023-09,2023,Septiembre,Normal,Regular,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,8.0,0.0465,,
1,App,2023-07,2023,Julio,Cyber Wow Julio,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0469,,
1,App,2025-11,2025,Noviembre,Black Friday,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,7.0,0.0442,0.0,0.0
1,App,2023-04,2023,Abril,Cyber Wow Abril,Digital,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2023-02,2023,Febrero,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,0.0,0.0,,
1,App,2023-06,2023,Junio,Normal,Regular,2,0.0469,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0542,,
1,Tienda,2025-06,2025,Junio,Normal,Regular,8,0.0261,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,9.0,0.0842,4.0,0.0462
1,Tienda,2025-04,2025,Abril,Normal,Regular,5,0.016,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.04,15.0,0.0491
1,Tienda,2024-05,2024,Mayo,Normal,Regular,14,0.0368,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,15.0,0.0491,2.0,0.0433
1,Tienda,2024-03,2024,Marzo,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,2.0,0.0366,5.0,0.0621
1,Tienda,2023-12,2023,Diciembre,Navidad,Festiva,32,0.0993,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,12.0,0.0646,,
1,Tienda,2024-12,2024,Diciembre,Navidad,Festiva,79,0.0899,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,3.0,0.0666,32.0,0.0993
1,Tienda,2025-02,2025,Febrero,Campaña Escolar,Escolar,0,0.0,Gaseosas Pukara 158,Bebidas,Gaseosas,Pukara,7.0,0.0836,2.0,0.0366
